State,County,NSN,Item Name,Quantity,UI,Acquisition Cost,Ship Date
NC,BLADEN                   ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BLADEN                   ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BLADEN                   ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BLADEN                   ,2320-01-107-7155,"TRUCK,UTILITY",1,Each,39052,06/19/2012
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/01/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/01/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BRUNSWICK                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/14/2008
NC,BRUNSWICK                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,10/29/2008
NC,BRUNSWICK                ,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,72.1,06/24/2008
NC,BRUNSWICK                ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BRUNSWICK                ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BRUNSWICK                ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,08/14/2008
NC,BRUNSWICK                ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,08/14/2008
NC,BRUNSWICK                ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,08/14/2008
NC,BRUNSWICK                ,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,10/20/2010
NC,BRUNSWICK                ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,BRUNSWICK                ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,10/13/2010
NC,BRUNSWICK                ,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,92290,05/21/2009
NC,BRUNSWICK                ,2320-00-LSN-3307,,1,Each,27900,12/07/2009
NC,BRUNSWICK                ,2320-01-125-2640,TRUCK TRACTOR,1,Each,57454,11/12/2013
NC,BRUNSWICK                ,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,412000,09/24/2013
NC,BRUNSWICK                ,6115-00-394-9577,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,20039,02/27/2014
NC,BRUNSWICK                ,6115-00-394-9577,DIESEL GENERATOR,1,Each,0,02/27/2014 14:14:36
NC,BRUNSWICK                ,6650-00-530-0960,"TELESCOPE,STRAIGHT ",1,EA,442,01/21/-8574
NC,BRUNSWICK                ,8470-01-092-7527,"HELMET,GROUND TROOP",12,EA,150.29,03/22/-8630
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/21/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,11/28/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BUNCOMBE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
NC,BUNCOMBE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/21/2006
