agency_name,state,agency_type
CHEROKEE COUNTY SHERIFF DEPT,AL,sheriff_dept
CHEROKEE CTY SHERIFF DEPT,OK,sheriff_dept
CHESAPEAKE COUNTY SHERIFF DEPT,VA,sheriff_dept
CHESTER POLICE DEPT,PA,local_police
CHESTER POLICE DEPT,NY,local_police
CHESTER TOWNSHIP POLICE DEPT,PA,local_police
CHESTERFIELD COUNTY SHERIFF DEPT,SC,sheriff_dept
CHESTERFIELD POLICE DEPT,SC,local_police
CHESWOLD POLICE DEPT,DE,local_police
CHEYENNE COUNTY SHERIFF DEPT,KS,sheriff_dept
CHICAGO POLICE DEPARTMENT,IL,local_police
CHICKASAW NATION LIGHTHORSE POLICE,OK,native_police
CHICKASAW POLICE DEPT,AL,local_police
CHIDESTER POLICE DEPT,AR,local_police
CHIEFLAND POLICE DEPT,FL,local_police
CHILLICOTHE POLICE DEPT,OH,local_police
CHILTON COUNTY SHERIFF DEPT,AL,sheriff_dept
CHINO VALLEY POLICE DEPT,AZ,local_police
CIBOLA COUNTY SHERIFF DEPT,NM,sheriff_dept
CIMARRON POLICE DEPT,NM,local_police
CINNAMINSON TOWNSHIP POLICE DEPT,NJ,local_police
CIRCLEVILLE POLICE DEPT,OH,local_police
CISCO POLICE DEPT,TX,local_police
CITIZENS POTAWATOMI NATION PD,OK,native_police
CITRUS HEIGHTS POLICE DEPT,CA,local_police
CLACKAMAS COUNTY SHERIFF'S OFFICE,OR,sheriff_dept
CLAIBORNE COUNTY SHERIFF DEPT,TN,sheriff_dept
CLAIRTON POLICE DEPT,PA,local_police
CLANTON POLICE DEPARTMENT,AL,local_police
CLAREMONT POLICE DEPT,CA,local_police
CLARENDON COUNTY SHERIFF DEPT,SC,sheriff_dept
CLARK COUNTY SHERIFF DEPT,IN,sheriff_dept
CLARK COUNTY SHERIFF OFFICE,SD,sheriff_dept
CLAY CITY POLICE DEPT,IN,local_police
CLAY COUNTY SHERIFF DEPT,TN,sheriff_dept
CLAY COUNTY SHERIFF DEPT,NC,sheriff_dept
CLAY TWP POLICE DEPT GENOA,OH,local_police
CLAYTON COUNTY POLICE DEPARTMENT,GA,local_police
CLAYTON COUNTY SHERIFF OFFICE,GA,sheriff_dept
CLAYTON POLICE DEPT,GA,local_police
CLAYTON POLICE DEPT,DE,local_police
CLEARWATER COUNTY SHERIFF DEPT,ID,sheriff_dept
CLEBURNE COUNTY SHERIFF'S DEPT,AL,sheriff_dept
CLEVELAND METROPARKS RANGER DEPT,OH,parks
CLIFTON POLICE DEPT,AZ,local_police
CLINCHCO POLICE DEPT,VA,local_police
CLINTON COUNTY SHERIFF DEPT,IL,sheriff_dept
CLINTON POLICE DEPT,MS,local_police
CLINTON POLICE DEPT,MA,local_police
CLOVERPORT POLICE DEPT,KY,local_police
CLYDE HILL POLICE DEPT,WA,local_police
CO SCHOOL OF MINES PUBLIC SAFETY,CO,public_safety
CO STATE PATROL DENVER,CO,highway_patrol
COAL CO SHERIFF OFFICE,OK,sheriff_dept
COAL GROVE POLICE DEPT,OH,local_police
COALTON POLICE DEPT,OH,local_police
COATS POLICE DEPT,NC,local_police
COCHISE COUNTY POLICE DEPT,AZ,local_police
COCHISE COUNTY SHERIFF DEPT,AZ,sheriff_dept
COCOA POLICE DEPT,FL,local_police
COFFEE CO SHERIFF DEPT,TN,sheriff_dept
COFFEE COUNTY SHERIFF DEPT,AL,sheriff_dept
COFFEYVILLE POLICE DEPT,KS,local_police
COLDWATER POLICE DEPT,OH,local_police
COLLBRAN MARSHALS DEPT,CO,marshal
COLLIER COUNTY SHERIFF'S OFFICE,FL,sheriff_dept
COLMAR MANOR POLICE,MD,local_police
COLORADO SPRINGS POLICE DEPT,CO,local_police
COLUMBIA POLICE DEPT,SC,local_police
COLUMBIA POLICE DEPT,TN,local_police
COLUMBUS DIVISON POLICE DEPT,OH,local_police
COLUMBUS POLICE DEPARTMENT,GA,local_police
COLUMBUS POLICE DEPT,TX,local_police
COMAL COUNTY SHERIFF OFFICE,TX,sheriff_dept
COMANCHE NATION POLICE,OK,native_police
COMANCHE POLICE DEPT.,OK,local_police
CONCORD POLICE DEPARTMENT,CA,local_police
CONEMAUGH TOWNSHIP POLICE DEPT,PA,local_police
CONNEAUT POLICE DEPT,OH,local_police
CONSERVATION OFFICERS,IN,
CONTRA COSTA COUNTY SHERIFF DEPT,CA,sheriff_dept
COOK CO HOMELAND SEC & EMER MGMT,IL,dhs
COOK COUNTY SHERIFF DEPT,GA,sheriff_dept
CORDELE POLICE DEPT,GA,local_police
CORNERSVILLE POLICE DEPT,TN,local_police
COSHOCTON CTY SHERIFF DEPT,OH,sheriff_dept
COTTAGE GROVE POLICE,OR,local_police
COTTONWOOD POLICE DEPT,AL,local_police
COTTONWOOD POLICE DEPT,AZ,local_police
COTTONWOOD POLICE DEPT,ID,local_police
COVENTRY POLICE DEPT,RI,local_police
COVENTRY POLICE DEPT,CT,local_police
COVINA POLICE DEPT,CA,local_police
COVINGTON COUNTY SHERIFF DEPT,AL,sheriff_dept
COVINGTON POLICE DEPT,TN,local_police
COVINGTON TOWNSHIP POLICE DEPT,PA,local_police
CRANFORD POLICE DEPARTMENT,NJ,local_police
CRANSTON POLICE DEPT,RI,local_police
CRAWFORD COUNTY SHERIFF DEPT,IN,sheriff_dept
CRAWFORD TOWN POLICE DEPT,NY,local_police
CREOLA  POLICE DEPT,AL,local_police
CRESTED BUTTE MARSHAL'S DEPT,CO,marshal
CREVE COEUR POLICE DEPT,IL,local_police
CRIDERSVILLE POLICE DEPT,OH,local_police
CRISFIELD POLICE DEPT,MD,local_police
CT STATE POLICE AVIATION DIVISITON,CT,state_police
CUERO POLICE DEPT,TX,local_police
CULLMAN COUNTY ANIMAL CONTROL,AL,animal_control
CULLMAN COUNTY SHERIFF DEPT,AL,sheriff_dept
CULLMAN POLICE DEPT,AL,local_police
CUMBERLAND CITY POLICE DEPT,TN,local_police
CUMBERLAND COUNTY SHERIFF DEPT,PA,sheriff_dept
CUMBERLAND TOWNSHIP POLICE DEPT,PA,local_police
CUMMINGTON POLICE DEPT,MA,local_police
CURRITUCK COUNTY SHERIFF DEPT,NC,sheriff_dept
CUSTER COUNTY SHERIFF DEPT,SD,sheriff_dept
CUSTOMS AND BORDER PROTECTION,WA,cbp
CUSTOMS AND QUARANTINE AGENCY,GU,
DAGSBORO POLICE DEPT,DE,local_police
DALE COUNTY SHERIFF DEPT,AL,sheriff_dept
DALEVILLE DEPT OF PUBLIC SAFETY,AL,public_safety
DALLAS POLICE DEPT,OR,local_police
DAMASCUS POLICE DEPT,VA,local_police
DANDRIDGE POLICE DEPT,TN,local_police
DANE COUNTY  SHERIFF OFFICE,WI,sheriff_dept
DANE POLICE DEPT,WI,local_police
DARE COUNTY SHERIFF DEPT,NC,sheriff_dept
DARLINGTON COUNTY SHERIFF DEPT,SC,sheriff_dept
DAUPHIN COUNTY CID,PA,district_attorney
DAVIESS COUNTY SHERIFF DEPT,KY,sheriff_dept
DAVISBORO POLICE DEPT,GA,local_police
DAWSON POLICE DEPT,GA,local_police
DE CAPITOL POLICE DEPT,DE,local_police
DE DNR PARKS AND RECREATION,DE,parks
DE DOJ ALCOHOL AND TOBACCO DIV,DE,atf
"DE NATURAL RESOURCES POLICE, ECU",DE,
DE STATE POLICE,DE,state_police
"DEA, CHARLESTON OFFICE, TDS",WV,dea
DECATUR COUNTY SHERIFF DEPT,TN,sheriff_dept
DECATUR COUNTY SHERIFF DEPT,GA,sheriff_dept
DECATURVILLE POLICE DEPT,TN,local_police
DEFIANCE CTY SHERIFF DEPT,OH,sheriff_dept
DEFUNIAK SPRINGS POLICE DEPT,FL,local_police
DEKALB COUNTY MARSHALS OFFICE,GA,marshal
DELANO POLICE DEPT,CA,local_police
DELAVAN POLICE DEPT,IL,local_police
DELAVAN POLICE DEPT,WI,local_police
DELAWARE POLICE DEPT,OH,local_police
DELMAR POLICE DEPT,DE,local_police
DENMARK POLICE DEPT,WI,local_police
DENTON CONSTABLE PRECINCT 2,TX,local_police
DENTON POLICE DEPT,MD,local_police
DENVER COUNTY SHERIFF DEPT,CO,sheriff_dept
DEPARTMENT OF JUSTICE,GA,doj
DEPUE POLICE DEPARTMENT,IL,local_police
DERRY TOWNSHIP POLICE DEPT,PA,local_police
DESCHUTES CTY SHERIFF,OR,sheriff_dept
DEWEY BEACH POLICE DEPT,DE,local_police
DEWEY COUNTY SHERIFF OFFICE,SD,sheriff_dept
DEWITT COUNTY SHERIFF DEPT,IL,sheriff_dept
DHS ICE HSI,SC,ice
DHS USCBP USBP PORTAL STATION,ND,
DHS-HOMELAND SEC INV,AL,dhs
DICKENSON COUNTY SHERIFF DEPT,VA,sheriff_dept
DICKSON POLICE DEPT,TN,local_police
DIGHTON POLICE DEPT,MA,local_police
DILLARD POLICE DEPT,GA,local_police
DILLON COUNTY SHERIFF DEPT,SC,sheriff_dept
DILLON POLICE DEPT,SC,local_police
DIVIDE COUNTY SHERIFF DEPT,ND,sheriff_dept
DIXFIELD POLICE DEPT,ME,local_police
DODGE COUNTY SHERIFF DEPT,WI,sheriff_dept
DODGE COUNTY SHERIFF DEPT,GA,sheriff_dept
DOOLY COUNTY SCHOOLS POLICE DEPT,GA,local_police
DOOR COUNTY SHERIFF DEPT,WI,sheriff_dept
DORA POLICE DEPT,AL,local_police
DORAVILLE POLICE DEPT,GA,local_police
DOTHAN POLICE DEPT,AL,local_police
DOUGLAS COUNTY SHERIFF DEPT,GA,sheriff_dept
DOUGLAS COUNTY SHERIFF DEPT,NV,sheriff_dept
DOUGLAS COUNTY SHERIFF DEPT,CO,sheriff_dept
DOUGLAS POLICE DEPT,GA,local_police
DUBLIN POLICE DEPT,GA,local_police
DUCK POLICE DEPT,NC,local_police
DUNCAN POLICE DEPT,OK,local_police
DUNCANVILLE POLICE DEPT,TX,local_police
DUNN COUNTY SHERIFF DEPT,WI,sheriff_dept
DUNWOODY POLICE DEPARTMENT,GA,local_police
DYER COUNTY SHERIFF DEPT,TN,sheriff_dept
EAGLE POLICE DEPT,CO,local_police
EAGLEVILLE POLICE DEPT,TN,local_police
EAST ALTON POLICE DEPT,IL,local_police
EAST BATON ROUGE PARISH SHERIFF,LA,sheriff_dept
EAST DUBUQUE POLICE DEPT,IL,local_police
EAST FALLOWFIELD TOWNSHIP POLICE,PA,local_police
EAST GALESBURG POLICE DEPT,IL,local_police
EAST GREENWICH POLICE DEPT,RI,local_police
EAST HAMPTON POLICE DEPT,CT,local_police
EAST KINGSTON POLICE DEPT,NH,local_police
EAST MOUNTAIN POLICE DEPT,TX,local_police
EAST PALO ALTO POLICE DEPT,CA,local_police
EAST PENNSBORO TOWNSHIP POLICE,PA,local_police
EAST PEORIA POLICE DEPT,IL,local_police
EAST PROVIDENCE POLICE DEPT,RI,local_police
EASTLAND POLICE DEPT,TX,local_police
EASTON POLICE,MA,local_police
EATONTOWN POLICE DEPT,NJ,local_police
EAU CLAIRE COUNTY SHERIFF DEPT,WI,sheriff_dept
ECTOR COUNTY ENV ENFORCEMENT,TX,
EDCOUCH POLICE DEPT,TX,local_police
EDGERTON POLICE DEPT,OH,local_police
EDGEWOOD POLICE DEPT,TX,local_police
EDINBURG SCHOOL DISTRICT POLICE,TX,school_district_police
EDMONSON COUNTY SHERIFF DEPT,KY,sheriff_dept
EDWARDSVILLE POLICE DEPT,IL,local_police
EL CAMINO COLLEGE POLICE DEPT,CA,local_police
EL MONTE POLICE DEPT,CA,local_police
EL PASO COUNTY SHERIFF DEPT,TX,sheriff_dept
ELBERT COUNTY SHERIFF DEPT,CO,sheriff_dept
ELBERT COUNTY SHERIFF OFFICE,GA,sheriff_dept
ELBERTA POLICE DEPT,AL,local_police
ELGIN POLICE DEPT,TX,local_police
ELGIN POLICE DEPT,IL,local_police
ELIDA POLICE DEPT,NM,local_police
ELIDA POLICE DEPT,OH,local_police
ELIZABETH CITY POLICE DEPT,NC,local_police
ELIZABETH FIRE PROTECT DIST,CO,fire
ELIZABETH POLICE DEPT,CO,local_police
ELIZABETH POLICE DEPT,IL,local_police
ELKO POLICE DEPT,NV,local_police
ELKTON POLICE DEPT,VA,local_police
ELLIJAY POLICE DEPT,GA,local_police
ELLSWORTH POLICE DEPT,WI,local_police
ELMWOOD PLACE POLICE DEPT,OH,local_police
ELSA POLICE DEPT,TX,local_police
